"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DT00","DX90","EMNT","EMXT","PRCP","TAVG","TMAX","TMIN"
"USR0000CTHO","39.8644","-122.6097","317.0","2009-01","0","0","32","82",,"54.0","64.2","43.9"
"USR0000CTHO","39.8644","-122.6097","317.0","2009-02","0","0","33","75",,"49.8","57.0","42.5"
"USR0000CTHO","39.8644","-122.6097","317.0","2009-03","0","0","35","79",,"54.8","65.1","44.6"
"USR0000CTHO","39.8644","-122.6097","317.0","2009-04","0","4","40","98",,"61.1","73.1","49.1"
"USC00049099","34.128","-116.0369","602.0","2009-01","0","0","29","72","0.00","54.8","65.6","44.0"
"USC00049099","34.128","-116.0369","602.0","2009-02","0","0","31","74","0.51","52.0","63.7","40.3"
"USC00049099","34.128","-116.0369","602.0","2009-04","0","4","39","94","0.02","64.5","78.6","50.4"
"USR0000CRDR","39.3036","-121.1172","599.8","2009-01","0","0","30","82",,"51.2","62.0","40.4"
"USR0000CRDR","39.3036","-121.1172","599.8","2009-02","0","0","29","76",,"47.8","56.7","38.9"
"USR0000CRDR","39.3036","-121.1172","599.8","2009-03","0","0","30","76",,"50.7","61.5","39.9"
"USR0000CRDR","39.3036","-121.1172","599.8","2009-04","0","3","30","93",,"55.7","69.1","42.4"
"USR0000CTHS","34.21","-118.87","242.3","2009-01","0","0","36","82",,"59.7","68.3","51.1"
"USR0000CTHS","34.21","-118.87","242.3","2009-02","0","0","34","81",,"52.9","62.2","43.5"
"USR0000CTHS","34.21","-118.87","242.3","2009-03","0","0","37","79",,"54.6","64.4","44.7"
"USR0000CTHS","34.21","-118.87","242.3","2009-04","0","3","39","95",,"57.2","67.3","47.1"
"USR0000CABS","40.3983","-122.8333","579.1","2009-01","0","0","31","78",,"52.0","59.5","44.5"
"USR0000CABS","40.3983","-122.8333","579.1","2009-02","0","0","28","68",,"43.6","48.2","39.1"
"USR0000CABS","40.3983","-122.8333","579.1","2009-03","0","0","30","74",,"48.8","56.9","40.7"
"USR0000CABS","40.3983","-122.8333","579.1","2009-04","0","0","33","86",,"54.5","63.9","45.0"
"US1CAMT0001","36.602928","-121.899072","37.5","2009-01",,,,,"1.94",,,
"USC00047902","34.4167","-119.6844","4.9","2009-01",,,,,,,,
"USC00047902","34.4167","-119.6844","4.9","2009-02","0","0","36","81","4.74","55.9","66.5","45.4"
"USC00047902","34.4167","-119.6844","4.9","2009-03","0","0","40","82","0.89","59.0","69.9","48.1"
"USC00047902","34.4167","-119.6844","4.9","2009-04","0","2","42","98","0.20","62.1","75.3","48.9"
"USC00042214","34.005","-118.4139","28.0","2009-01","0","0","35","83","0.69","58.9","68.9","48.8"
"USC00042214","34.005","-118.4139","28.0","2009-02","0","0","34","82","3.86","56.4","65.3","47.4"
"USC00042214","34.005","-118.4139","28.0","2009-03","0","0","40","77","0.55","57.8","66.2","49.5"
"USC00042214","34.005","-118.4139","28.0","2009-04","0","2","44","96","0.00","61.2","70.4","52.1"
"USC00042456","39.3575","-121.2011","499.9","2009-01",,,,,,,,
